   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
         CMCC-CM      NaN   0.38    NaN   0.52
        CMCC-CMS      NaN   0.29    NaN   0.43
           CCSM4     0.15   0.11   0.13   0.23
        CNRM-CM5     0.14   0.22    NaN   0.25
   CSIRO-Mk3-6-0     0.14   0.16   0.17   0.27
        EC-EARTH      NaN    NaN    NaN   0.24
       FGOALS-g2     0.10   0.20    NaN   0.35
         FIO-ESM    -0.18  -0.12  -0.11  -0.03
        GFDL-CM3     0.22   0.28   0.32   0.48
      GFDL-ESM2G     0.06   0.17   0.18   0.28
      GFDL-ESM2M     0.20   0.23   0.26   0.28
       GISS-E2-R     0.06   0.18   0.16   0.31
       GISS-E2-H     0.12   0.25   0.21   0.32
    GISS-E2-R-CC      NaN   0.13    NaN    NaN
    GISS-E2-H-CC      NaN   0.33    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.17    NaN   0.26
      HadGEM2-AO     0.08   0.11  -0.00   0.11
          inmcm4      NaN   0.09    NaN   0.12
    IPSL-CM5A-LR     0.20   0.28   0.29   0.46
    IPSL-CM5A-MR     0.15   0.22   0.25   0.40
    IPSL-CM5B-LR      NaN   0.18    NaN   0.33
          MIROC5     0.11   0.19   0.20   0.28
       MIROC-ESM     0.33   0.44   0.46   0.63
  MIROC-ESM-CHEM     0.37   0.47   0.50   0.61
      MPI-ESM-LR     0.17   0.15    NaN   0.31
      MPI-ESM-MR     0.10   0.13    NaN   0.22
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.15   0.22   0.20   0.34
       NorESM1-M     0.13   0.18   0.18   0.26
      NorESM1-ME     0.15   0.15   0.19   0.27
CEU DJF
      HadGEM2-ES     0.27   0.46   0.44   0.55
       ACCESS1-0      NaN   0.51    NaN   0.55
       ACCESS1-3      NaN   0.34    NaN   0.55
      bcc-csm1-1     0.10   0.22   0.28   0.40
    bcc-csm1-1-m     0.31   0.35   0.48   0.60
         BNU-ESM     0.02   0.05    NaN  -0.06
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.32   0.40    NaN   0.67
      CESM1-CAM5     0.32   0.32   0.20   0.34
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.88
         CMCC-CM      NaN   0.25    NaN   0.53
        CMCC-CMS      NaN   0.28    NaN   0.50
           CCSM4     0.09   0.22   0.18   0.34
        CNRM-CM5     0.19   0.20    NaN   0.28
   CSIRO-Mk3-6-0     0.15   0.33   0.27   0.56
        EC-EARTH      NaN    NaN    NaN   0.40
       FGOALS-g2     0.19   0.33    NaN   0.54
         FIO-ESM     0.07   0.03   0.03   0.02
        GFDL-CM3     0.24   0.36   0.28   0.34
      GFDL-ESM2G     0.17   0.15   0.24   0.29
      GFDL-ESM2M     0.22   0.18   0.20   0.32
       GISS-E2-R    -0.05  -0.00   0.06   0.15
       GISS-E2-H    -0.02   0.25   0.10   0.17
    GISS-E2-R-CC      NaN   0.05    NaN    NaN
    GISS-E2-H-CC      NaN   0.13    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.45    NaN   0.71
      HadGEM2-AO     0.15   0.33   0.36   0.46
          inmcm4      NaN   0.07    NaN   0.18
    IPSL-CM5A-LR     0.26   0.25   0.24   0.19
    IPSL-CM5A-MR     0.26   0.38   0.42   0.53
    IPSL-CM5B-LR      NaN   0.14    NaN   0.30
          MIROC5     0.13   0.15   0.10   0.35
       MIROC-ESM     0.35   0.47   0.43   0.54
  MIROC-ESM-CHEM     0.49   0.42   0.42   0.48
      MPI-ESM-LR     0.22   0.17    NaN   0.42
      MPI-ESM-MR     0.25   0.22    NaN   0.25
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.19   0.13   0.19   0.43
       NorESM1-M     0.24   0.38   0.34   0.35
      NorESM1-ME     0.20   0.27   0.24   0.33
CEU MAM
      HadGEM2-ES     0.27   0.35   0.26   0.31
       ACCESS1-0      NaN   0.19    NaN   0.08
       ACCESS1-3      NaN   0.19    NaN   0.31
      bcc-csm1-1     0.16   0.21   0.05   0.15
    bcc-csm1-1-m     0.10   0.14   0.22   0.19
         BNU-ESM     0.00   0.02    NaN  -0.10
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.26   0.18    NaN   0.18
      CESM1-CAM5     0.21   0.10   0.19   0.16
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.52
         CMCC-CM      NaN   0.19    NaN   0.08
        CMCC-CMS      NaN   0.23    NaN   0.25
           CCSM4     0.13   0.12   0.07   0.01
        CNRM-CM5     0.24   0.32    NaN   0.45
   CSIRO-Mk3-6-0     0.19   0.14   0.14   0.10
        EC-EARTH      NaN    NaN    NaN   0.29
       FGOALS-g2     0.18   0.19    NaN   0.34
         FIO-ESM    -0.21  -0.15  -0.19  -0.19
        GFDL-CM3     0.21   0.32   0.21   0.02
      GFDL-ESM2G     0.01   0.03   0.00  -0.05
      GFDL-ESM2M     0.14   0.21   0.25   0.14
       GISS-E2-R     0.04   0.11   0.11   0.10
       GISS-E2-H     0.05   0.17   0.11   0.09
    GISS-E2-R-CC      NaN   0.08    NaN    NaN
    GISS-E2-H-CC      NaN   0.20    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.18    NaN   0.40
      HadGEM2-AO     0.08   0.27   0.07   0.12
          inmcm4      NaN  -0.10    NaN  -0.10
    IPSL-CM5A-LR     0.19   0.08   0.10   0.02
    IPSL-CM5A-MR    -0.00  -0.08  -0.15   0.01
    IPSL-CM5B-LR      NaN   0.13    NaN   0.14
          MIROC5     0.19   0.28   0.21   0.18
       MIROC-ESM     0.24   0.29   0.27   0.33
  MIROC-ESM-CHEM     0.24   0.23   0.27   0.21
      MPI-ESM-LR     0.16   0.13    NaN   0.16
      MPI-ESM-MR     0.12   0.09    NaN   0.08
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.08   0.13   0.09   0.34
       NorESM1-M     0.08   0.07  -0.01   0.01
      NorESM1-ME     0.13   0.10  -0.10   0.06
CEU JJA
      HadGEM2-ES    -0.10  -0.28  -0.37  -0.70
       ACCESS1-0      NaN  -0.43    NaN  -0.78
       ACCESS1-3      NaN  -0.21    NaN  -0.33
      bcc-csm1-1     0.14   0.01  -0.12  -0.24
    bcc-csm1-1-m    -0.10  -0.21  -0.29  -0.45
         BNU-ESM     0.02  -0.04    NaN  -0.16
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.07  -0.07    NaN  -0.31
      CESM1-CAM5     0.09  -0.05  -0.16  -0.41
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.12
         CMCC-CM      NaN  -0.12    NaN  -0.35
        CMCC-CMS      NaN  -0.09    NaN  -0.25
           CCSM4     0.06  -0.20  -0.13  -0.38
        CNRM-CM5     0.23   0.14    NaN   0.25
   CSIRO-Mk3-6-0    -0.31  -0.51  -0.47  -0.78
        EC-EARTH      NaN    NaN    NaN  -0.17
       FGOALS-g2    -0.03   0.05    NaN  -0.04
         FIO-ESM    -0.31  -0.25  -0.25  -0.30
        GFDL-CM3     0.02  -0.11  -0.25  -0.48
      GFDL-ESM2G    -0.02   0.06  -0.20  -0.33
      GFDL-ESM2M     0.13  -0.04  -0.08  -0.32
       GISS-E2-R     0.17   0.03   0.01  -0.15
       GISS-E2-H     0.18   0.04   0.02  -0.23
    GISS-E2-R-CC      NaN   0.04    NaN    NaN
    GISS-E2-H-CC      NaN   0.01    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.35    NaN  -0.66
      HadGEM2-AO    -0.32  -0.59  -0.68  -1.05
          inmcm4      NaN  -0.25    NaN  -0.35
    IPSL-CM5A-LR     0.29   0.14   0.12  -0.24
    IPSL-CM5A-MR     0.02  -0.08  -0.22  -0.50
    IPSL-CM5B-LR      NaN   0.31    NaN   0.10
          MIROC5     0.01   0.12   0.07   0.07
       MIROC-ESM     0.33   0.23   0.29   0.23
  MIROC-ESM-CHEM     0.30   0.34   0.34   0.24
      MPI-ESM-LR    -0.22  -0.37    NaN  -0.69
      MPI-ESM-MR    -0.17  -0.22    NaN  -0.62
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.14   0.17   0.17   0.24
       NorESM1-M     0.09  -0.18  -0.17  -0.23
      NorESM1-ME    -0.04  -0.08  -0.16  -0.20
CEU SON
      HadGEM2-ES    -0.03   0.12  -0.11  -0.20
       ACCESS1-0      NaN  -0.00    NaN  -0.06
       ACCESS1-3      NaN   0.13    NaN   0.17
      bcc-csm1-1     0.03   0.01   0.13  -0.03
    bcc-csm1-1-m     0.16   0.11   0.17   0.09
         BNU-ESM    -0.06  -0.12    NaN  -0.24
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.03  -0.07    NaN  -0.02
      CESM1-CAM5     0.01  -0.05  -0.02  -0.11
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.29
         CMCC-CM      NaN  -0.11    NaN  -0.13
        CMCC-CMS      NaN   0.19    NaN   0.08
           CCSM4     0.17   0.11   0.07  -0.02
        CNRM-CM5     0.13   0.24    NaN   0.36
   CSIRO-Mk3-6-0     0.03  -0.17   0.06  -0.14
        EC-EARTH      NaN    NaN    NaN   0.06
       FGOALS-g2     0.10   0.12    NaN   0.19
         FIO-ESM    -0.17  -0.21  -0.11   0.05
        GFDL-CM3     0.08   0.17   0.05   0.04
      GFDL-ESM2G    -0.12  -0.08  -0.15  -0.12
      GFDL-ESM2M     0.07  -0.01   0.01  -0.12
       GISS-E2-R     0.04  -0.02   0.04  -0.05
       GISS-E2-H     0.18   0.21   0.26   0.25
    GISS-E2-R-CC      NaN   0.03    NaN    NaN
    GISS-E2-H-CC      NaN   0.08    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.05    NaN  -0.09
      HadGEM2-AO    -0.07  -0.23   0.02  -0.16
          inmcm4      NaN  -0.07    NaN  -0.02
    IPSL-CM5A-LR     0.20   0.13   0.10   0.15
    IPSL-CM5A-MR     0.13  -0.03   0.07   0.12
    IPSL-CM5B-LR      NaN   0.33    NaN   0.18
          MIROC5     0.16   0.23   0.31   0.21
       MIROC-ESM     0.39   0.42   0.40   0.48
  MIROC-ESM-CHEM     0.28   0.28   0.43   0.35
      MPI-ESM-LR    -0.02  -0.08    NaN  -0.13
      MPI-ESM-MR     0.12   0.11    NaN   0.02
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.03   0.17   0.03   0.08
       NorESM1-M     0.07   0.04  -0.08   0.01
      NorESM1-ME     0.10   0.16   0.06   0.13
CEU ANN
      HadGEM2-ES     0.10   0.16   0.06  -0.01
       ACCESS1-0      NaN   0.06    NaN  -0.05
       ACCESS1-3      NaN   0.11    NaN   0.18
      bcc-csm1-1     0.11   0.11   0.08   0.07
    bcc-csm1-1-m     0.12   0.10   0.15   0.11
         BNU-ESM    -0.00  -0.02    NaN  -0.14
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.15   0.11    NaN   0.13
      CESM1-CAM5     0.15   0.08   0.06  -0.01
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.45
         CMCC-CM      NaN   0.06    NaN   0.03
        CMCC-CMS      NaN   0.15    NaN   0.14
           CCSM4     0.11   0.06   0.05  -0.01
        CNRM-CM5     0.19   0.22    NaN   0.33
   CSIRO-Mk3-6-0     0.01  -0.05   0.00  -0.06
        EC-EARTH      NaN    NaN    NaN   0.15
       FGOALS-g2     0.11   0.17    NaN   0.26
         FIO-ESM    -0.16  -0.15  -0.13  -0.10
        GFDL-CM3     0.13   0.18   0.07  -0.02
      GFDL-ESM2G     0.02   0.04  -0.03  -0.05
      GFDL-ESM2M     0.15   0.08   0.09   0.01
       GISS-E2-R     0.04   0.03   0.05   0.01
       GISS-E2-H     0.10   0.17   0.12   0.07
    GISS-E2-R-CC      NaN   0.05    NaN    NaN
    GISS-E2-H-CC      NaN   0.10    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.06    NaN   0.09
      HadGEM2-AO    -0.02  -0.05  -0.06  -0.16
          inmcm4      NaN  -0.08    NaN  -0.07
    IPSL-CM5A-LR     0.23   0.15   0.14   0.03
    IPSL-CM5A-MR     0.10   0.05   0.03   0.04
    IPSL-CM5B-LR      NaN   0.23    NaN   0.18
          MIROC5     0.11   0.19   0.17   0.20
       MIROC-ESM     0.33   0.35   0.35   0.39
  MIROC-ESM-CHEM     0.32   0.32   0.36   0.32
      MPI-ESM-LR     0.03  -0.04    NaN  -0.06
      MPI-ESM-MR     0.08   0.05    NaN  -0.07
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.13   0.15   0.12   0.27
       NorESM1-M     0.12   0.08   0.02   0.04
      NorESM1-ME     0.10   0.11   0.01   0.08
MED DJF
      HadGEM2-ES     0.16   0.03   0.14  -0.03
       ACCESS1-0      NaN   0.04    NaN  -0.09
       ACCESS1-3      NaN  -0.05    NaN  -0.13
      bcc-csm1-1     0.05  -0.03  -0.05  -0.09
    bcc-csm1-1-m     0.11   0.01   0.09  -0.00
         BNU-ESM    -0.19  -0.15    NaN  -0.45
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.09  -0.06    NaN  -0.04
      CESM1-CAM5     0.01  -0.09  -0.05  -0.23
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.00
         CMCC-CM      NaN  -0.12    NaN  -0.13
        CMCC-CMS      NaN   0.01    NaN  -0.17
           CCSM4    -0.01   0.01  -0.00  -0.16
        CNRM-CM5     0.10   0.06    NaN  -0.07
   CSIRO-Mk3-6-0    -0.06  -0.05  -0.09  -0.06
        EC-EARTH      NaN    NaN    NaN  -0.07
       FGOALS-g2     0.04  -0.04    NaN  -0.32
         FIO-ESM    -0.33  -0.24  -0.25  -0.42
        GFDL-CM3    -0.12  -0.22  -0.27  -0.53
      GFDL-ESM2G    -0.01  -0.12  -0.17  -0.30
      GFDL-ESM2M    -0.16  -0.18  -0.30  -0.38
       GISS-E2-R    -0.08  -0.13  -0.08  -0.18
       GISS-E2-H    -0.04  -0.07  -0.00  -0.12
    GISS-E2-R-CC      NaN  -0.04    NaN    NaN
    GISS-E2-H-CC      NaN  -0.11    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.09    NaN   0.09
      HadGEM2-AO     0.09  -0.00   0.16  -0.04
          inmcm4      NaN  -0.11    NaN  -0.20
    IPSL-CM5A-LR    -0.06  -0.15  -0.13  -0.36
    IPSL-CM5A-MR     0.02  -0.13  -0.09  -0.27
    IPSL-CM5B-LR      NaN  -0.03    NaN  -0.10
          MIROC5    -0.08  -0.13  -0.18  -0.18
       MIROC-ESM    -0.19  -0.27  -0.30  -0.47
  MIROC-ESM-CHEM    -0.07  -0.25  -0.31  -0.38
      MPI-ESM-LR    -0.11  -0.20    NaN  -0.38
      MPI-ESM-MR    -0.04  -0.14    NaN  -0.27
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.07   0.07   0.06   0.02
       NorESM1-M     0.05   0.03  -0.14  -0.16
      NorESM1-ME     0.08  -0.03  -0.06  -0.21
MED MAM
      HadGEM2-ES     0.05  -0.07  -0.02  -0.16
       ACCESS1-0      NaN  -0.09    NaN  -0.28
       ACCESS1-3      NaN  -0.03    NaN  -0.04
      bcc-csm1-1     0.04   0.04  -0.11  -0.11
    bcc-csm1-1-m     0.06   0.02  -0.06  -0.12
         BNU-ESM    -0.08  -0.06    NaN  -0.27
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.01  -0.06    NaN  -0.09
      CESM1-CAM5    -0.01  -0.10  -0.04  -0.23
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.08
         CMCC-CM      NaN  -0.09    NaN  -0.27
        CMCC-CMS      NaN  -0.06    NaN  -0.18
           CCSM4    -0.06  -0.14  -0.13  -0.27
        CNRM-CM5     0.06   0.10    NaN   0.05
   CSIRO-Mk3-6-0    -0.15  -0.17  -0.14  -0.27
        EC-EARTH      NaN    NaN    NaN  -0.14
       FGOALS-g2     0.01  -0.10    NaN  -0.16
         FIO-ESM    -0.34  -0.34  -0.31  -0.33
        GFDL-CM3     0.02  -0.05  -0.18  -0.31
      GFDL-ESM2G     0.03  -0.08  -0.14  -0.22
      GFDL-ESM2M    -0.03  -0.15  -0.10  -0.25
       GISS-E2-R     0.01  -0.11  -0.10  -0.25
       GISS-E2-H     0.04  -0.12  -0.02  -0.15
    GISS-E2-R-CC      NaN  -0.07    NaN    NaN
    GISS-E2-H-CC      NaN  -0.20    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.16    NaN  -0.19
      HadGEM2-AO     0.03  -0.06  -0.03  -0.06
          inmcm4      NaN  -0.16    NaN  -0.25
    IPSL-CM5A-LR     0.08  -0.11  -0.14  -0.24
    IPSL-CM5A-MR    -0.11  -0.11  -0.20  -0.21
    IPSL-CM5B-LR      NaN  -0.00    NaN  -0.12
          MIROC5     0.01  -0.00   0.02  -0.15
       MIROC-ESM     0.01  -0.08  -0.07  -0.25
  MIROC-ESM-CHEM    -0.02  -0.12  -0.11  -0.23
      MPI-ESM-LR    -0.01  -0.19    NaN  -0.35
      MPI-ESM-MR    -0.04  -0.10    NaN  -0.34
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.14   0.08   0.08   0.04
       NorESM1-M    -0.05  -0.09  -0.12  -0.23
      NorESM1-ME    -0.00  -0.08  -0.15  -0.23
MED JJA
      HadGEM2-ES    -0.01  -0.11  -0.10  -0.22
       ACCESS1-0      NaN  -0.18    NaN  -0.27
       ACCESS1-3      NaN   0.01    NaN  -0.01
      bcc-csm1-1    -0.01  -0.07  -0.12  -0.20
    bcc-csm1-1-m    -0.03  -0.06  -0.08  -0.11
         BNU-ESM    -0.01  -0.04    NaN  -0.03
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.05  -0.09    NaN  -0.18
      CESM1-CAM5     0.06  -0.05  -0.01  -0.12
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.07
         CMCC-CM      NaN  -0.10    NaN  -0.18
        CMCC-CMS      NaN  -0.05    NaN  -0.13
           CCSM4     0.01  -0.04  -0.07  -0.14
        CNRM-CM5     0.06   0.02    NaN   0.02
   CSIRO-Mk3-6-0    -0.08  -0.17  -0.15  -0.21
        EC-EARTH      NaN    NaN    NaN  -0.12
       FGOALS-g2    -0.05  -0.12    NaN  -0.20
         FIO-ESM    -0.11  -0.14  -0.09  -0.15
        GFDL-CM3    -0.15  -0.20  -0.21  -0.33
      GFDL-ESM2G    -0.07  -0.07  -0.14  -0.24
      GFDL-ESM2M    -0.15  -0.25  -0.25  -0.35
       GISS-E2-R    -0.09  -0.23  -0.21  -0.38
       GISS-E2-H     0.02   0.00  -0.12  -0.29
    GISS-E2-R-CC      NaN  -0.20    NaN    NaN
    GISS-E2-H-CC      NaN  -0.10    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.14    NaN  -0.22
      HadGEM2-AO    -0.05  -0.14  -0.10  -0.22
          inmcm4      NaN  -0.12    NaN  -0.15
    IPSL-CM5A-LR     0.06  -0.15  -0.17  -0.35
    IPSL-CM5A-MR    -0.03  -0.13  -0.21  -0.35
    IPSL-CM5B-LR      NaN   0.04    NaN  -0.14
          MIROC5    -0.04  -0.08  -0.10  -0.08
       MIROC-ESM     0.02  -0.01   0.00  -0.08
  MIROC-ESM-CHEM    -0.02  -0.09  -0.01  -0.15
      MPI-ESM-LR    -0.06  -0.16    NaN  -0.27
      MPI-ESM-MR    -0.01  -0.09    NaN  -0.21
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.01  -0.06  -0.09  -0.13
       NorESM1-M     0.02  -0.06  -0.06  -0.07
      NorESM1-ME    -0.04  -0.08  -0.09  -0.17
MED SON
      HadGEM2-ES     0.11  -0.03  -0.07  -0.23
       ACCESS1-0      NaN  -0.02    NaN  -0.21
       ACCESS1-3      NaN  -0.08    NaN  -0.16
      bcc-csm1-1    -0.12  -0.08  -0.13  -0.31
    bcc-csm1-1-m    -0.05  -0.10  -0.13  -0.22
         BNU-ESM    -0.09  -0.16    NaN  -0.22
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.00  -0.08    NaN  -0.19
      CESM1-CAM5     0.05  -0.02   0.06  -0.10
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.16
         CMCC-CM      NaN  -0.10    NaN  -0.27
        CMCC-CMS      NaN  -0.03    NaN  -0.23
           CCSM4    -0.07  -0.07  -0.09  -0.22
        CNRM-CM5     0.08   0.05    NaN  -0.00
   CSIRO-Mk3-6-0    -0.10  -0.33  -0.22  -0.42
        EC-EARTH      NaN    NaN    NaN  -0.29
       FGOALS-g2     0.15  -0.03    NaN  -0.00
         FIO-ESM    -0.16  -0.18  -0.16  -0.31
        GFDL-CM3    -0.18  -0.21  -0.25  -0.42
      GFDL-ESM2G    -0.01  -0.10  -0.18  -0.29
      GFDL-ESM2M    -0.20  -0.23  -0.33  -0.41
       GISS-E2-R    -0.04  -0.25  -0.21  -0.36
       GISS-E2-H     0.05  -0.09  -0.12  -0.19
    GISS-E2-R-CC      NaN  -0.14    NaN    NaN
    GISS-E2-H-CC      NaN  -0.16    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.02    NaN  -0.17
      HadGEM2-AO     0.06  -0.09   0.04  -0.16
          inmcm4      NaN  -0.09    NaN  -0.12
    IPSL-CM5A-LR    -0.07  -0.20  -0.14  -0.26
    IPSL-CM5A-MR    -0.03  -0.13  -0.17  -0.21
    IPSL-CM5B-LR      NaN  -0.10    NaN  -0.30
          MIROC5    -0.10  -0.14  -0.15  -0.26
       MIROC-ESM    -0.03  -0.01   0.00  -0.11
  MIROC-ESM-CHEM    -0.01   0.02   0.01  -0.03
      MPI-ESM-LR    -0.05  -0.23    NaN  -0.37
      MPI-ESM-MR    -0.03  -0.09    NaN  -0.15
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.03  -0.14  -0.15  -0.18
       NorESM1-M     0.04  -0.03   0.02  -0.18
      NorESM1-ME    -0.00  -0.04  -0.07  -0.17
MED ANN
      HadGEM2-ES     0.08  -0.05  -0.01  -0.16
       ACCESS1-0      NaN  -0.06    NaN  -0.21
       ACCESS1-3      NaN  -0.04    NaN  -0.08
      bcc-csm1-1    -0.01  -0.03  -0.10  -0.18
    bcc-csm1-1-m     0.02  -0.03  -0.05  -0.11
         BNU-ESM    -0.09  -0.10    NaN  -0.24
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.01  -0.07    NaN  -0.12
      CESM1-CAM5     0.03  -0.06  -0.01  -0.17
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.04
         CMCC-CM      NaN  -0.10    NaN  -0.21
        CMCC-CMS      NaN  -0.03    NaN  -0.18
           CCSM4    -0.03  -0.06  -0.07  -0.19
        CNRM-CM5     0.07   0.06    NaN  -0.00
   CSIRO-Mk3-6-0    -0.10  -0.18  -0.15  -0.24
